"","date","Recess","realtime_start","realtime_end","UnempRate","GSPC.Volume","GSPC.Close"
"1826",2007-01-01,0,2025-11-03,2025-11-03,4.6,56686200000,1438.23999023438
"1827",2007-02-01,0,2025-11-03,2025-11-03,4.5,51844990000,1406.81994628906
"1828",2007-03-01,0,2025-11-03,2025-11-03,4.4,67622250000,1420.85998535156
"1829",2007-04-01,0,2025-11-03,2025-11-03,4.5,57032470000,1482.36999511719
"1830",2007-05-01,0,2025-11-03,2025-11-03,4.4,64958050000,1530.61999511719
"1831",2007-06-01,0,2025-11-03,2025-11-03,4.6,65322800000,1503.34997558594
"1832",2007-07-01,0,2025-11-03,2025-11-03,4.7,70337430000,1455.27001953125
"1833",2007-08-01,0,2025-11-03,2025-11-03,4.6,91381760000,1473.98999023438
"1834",2007-09-01,0,2025-11-03,2025-11-03,4.7,57809700000,1526.75
"1835",2007-10-01,0,2025-11-03,2025-11-03,4.7,76022580000,1549.38000488281
"1836",2007-11-01,0,2025-11-03,2025-11-03,4.7,86246950000,1481.14001464844
"1837",2007-12-01,0,2025-11-03,2025-11-03,5,64821670000,1468.35998535156
"1838",2008-01-01,1,2025-11-03,2025-11-03,5,98475340000,1378.55004882812
"1839",2008-02-01,1,2025-11-03,2025-11-03,4.9,78536130000,1330.63000488281
"1840",2008-03-01,1,2025-11-03,2025-11-03,5.1,93189170000,1322.69995117188
"1841",2008-04-01,1,2025-11-03,2025-11-03,5,85978630000,1385.58996582031
"1842",2008-05-01,1,2025-11-03,2025-11-03,5.4,80990480000,1400.38000488281
"1843",2008-06-01,1,2025-11-03,2025-11-03,5.6,96614040000,1280
"1844",2008-07-01,1,2025-11-03,2025-11-03,5.8,124980570000,1267.38000488281
"1845",2008-08-01,1,2025-11-03,2025-11-03,6.1,86266010000,1282.82995605469
"1846",2008-09-01,1,2025-11-03,2025-11-03,6.1,140007320000,1166.35998535156
"1847",2008-10-01,1,2025-11-03,2025-11-03,6.5,159823030000,968.75
"1848",2008-11-01,1,2025-11-03,2025-11-03,6.8,115660210000,896.239990234375
"1849",2008-12-01,1,2025-11-03,2025-11-03,7.3,112884470000,903.25
"1850",2009-01-01,1,2025-11-03,2025-11-03,7.8,112090640000,825.880004882812
"1851",2009-02-01,1,2025-11-03,2025-11-03,8.3,124492210000,735.090026855469
"1852",2009-03-01,1,2025-11-03,2025-11-03,8.7,161843640000,797.869995117188
"1853",2009-04-01,1,2025-11-03,2025-11-03,9,138855320000,872.809997558594
"1854",2009-05-01,1,2025-11-03,2025-11-03,9.4,131614940000,919.140014648438
"1855",2009-06-01,1,2025-11-03,2025-11-03,9.5,112653150000,919.320007324219
"1856",2009-07-01,0,2025-11-03,2025-11-03,9.5,106635790000,987.47998046875
"1857",2009-08-01,0,2025-11-03,2025-11-03,9.6,116059270000,1020.61999511719
"1858",2009-09-01,0,2025-11-03,2025-11-03,9.8,112295490000,1057.07995605469
"1859",2009-10-01,0,2025-11-03,2025-11-03,10,113410990000,1036.18994140625
"1860",2009-11-01,0,2025-11-03,2025-11-03,9.9,84981530000,1095.63000488281
"1861",2009-12-01,0,2025-11-03,2025-11-03,9.9,89515330000,1115.09997558594
